constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30
NILAKKOTTAI,130,AYYANAR.R,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,NAGAJOTHI.S,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,2925,25/25,Result Declared
ODDANCHATRAM,128,SAKKARAPANI. R,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,VIDIYAL S. SEKAR,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,43249,26/26,Result Declared
OMALUR,84,MANI. R,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,ADHIYAMAAN. R.V,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,14539,26/26,Result Declared
ORATHANADU,175,R. VAITHILINGAM,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,DR. K. ARVIND,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,35028,24/24,Result Declared
OTTAPIDARAM,217,P .MATHANRAJA,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,P.M.RAMAJEYAM,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,29083,24/24,Result Declared
PADMANABHAPURAM,232,CHELLASWAMY. R,Communist Party of India (Marxist),Communist Party of India (Marxist),,Leading In,:,0,Won In,:,2,Trailing In,:,0,KRISHNA KUMAR. S,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,15569,24/24,Result Declared
PALACODU,57,ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,GOPI. R.,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,39042,23/23,Result Declared
PALANI,127,RAVIMANOHARAN. K,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,DR. PRAVEEN KUMAR. M,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,693,27/27,Result Declared
PALAYAMKOTTAI,226,M.ABDUL WAHAB,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,MARIA JOHN,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,13805,22/22,Result Declared
PALLADAM,115,K.RAMKUMAR,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,K.P.PARAMASIVAM,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,37897,35/35,Result Declared
PALLAVARAM,30,J.KAMATCHI,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,D.MURUGESAN,Desiya Murpokku Dravida KazhagamiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Desiya Murpokku Dravida Kazhagam,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,54693,35/35,Result Declared
PANRUTI,154,MOHAN. K,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,ABDUR RAHMAN. A.R,Viduthalai Chiruthaigal KatchiiParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Viduthalai Chiruthaigal Katchi,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,10663,23/23,Result Declared
PAPANASAM,172,A.M. SHAHJAHAN,Indian Union Muslim League,Indian Union Muslim League,,Leading In,:,0,Won In,:,2,Trailing In,:,0,AZARUDEEN UDUMAN ALI,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,1065,23/23,Result Declared
PAPPIREDDIPATTI,60,MARAGATHAM VETRIVEL,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,PALANIAPPAN. P,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,33114,25/25,Result Declared
PARAMAKUDI,209,ADVOCATE. KATHIRAVAN. K.K,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,GOPIRAJAN. G,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,3548,25/25,Result Declared
PARAMATHI-VELUR,95,SEKAR S,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,MOORTHIY K S,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,308,20/20,Result Declared
PATTUKKOTTAI,176,ANNADURAI K,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,MATHAN C,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,13754,24/24,Result Declared
PENNAGARAM,58,GAJENDRAN. S.,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,SELVAM. V.,Pattali Makkal KatchiiParty Wise State TrendsLeading In:0Won In:4Trailing In:0,Pattali Makkal Katchi,iParty Wise State TrendsLeading In:0Won In:4Trailing In:0,Leading In,:,0,Won In,:,4,Trailing In,:,0,3165,23/23,Result Declared
PERAMBALUR,147,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,DR. JAYALAKSHMI. S.T,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,14393,28/28,Result Declared
PERAMBUR,12,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,R.D. SHEKAR,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,53715,23/23,Result Declared
PERAVURANI,177,ASHOKKUMAR. N,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,GOVI.ELANGO,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,3162,21/21,Result Declared
PERIYAKULAM,199,SABARI IYNGARAN G.,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,SAKTHIVEL P.,Viduthalai Chiruthaigal KatchiiParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Viduthalai Chiruthaigal Katchi,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,19321,26/26,Result Declared
PERUNDURAI,103,JAYAKUMAR. S,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,9693,22/22,Result Declared
POLLACHI,123,K. NITHYANANDHAN,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,POLLACHI V. JAYARAMAN,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,4627,22/22,Result Declared
POLUR,66,ABISHEK. R,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,SARAVANAN. P,Desiya Murpokku Dravida KazhagamiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Desiya Murpokku Dravida Kazhagam,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,227,22/22,Result Declared
PONNERI,2,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,DURAI CHANDRASEKAR,Indian National CongressiParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Indian National Congress,iParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Leading In,:,0,Won In,:,5,Trailing In,:,0,55768,26/26,Result Declared
POOMPUHAR,162,NIVEDHA M MURUGAN,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,PAVUNRAJ. S,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,8260,25/25,Result Declared
POONAMALLEE,5,PRAKASAM.R,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,KRISHNASWAMY.A,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,72740,25/25,Result Declared
PUDUKKOTTAI,180,V. MUTHURAJA,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,K.M. SHARIFF,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,1867,22/22,Result Declared
RADHAPURAM,228,DR.SATHISH CHRISTOPHER,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,APPAVU.M,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,12313,26/26,Result Declared
RAJAPALAYAM,202,JEGADESHWARI. K,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,THANGAPANDIAN. S,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,10605,21/21,Result Declared
RAMANATHAPURAM,211,KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,SHAHUL HAMEED,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,12459,31/31,Result Declared
RANIPET,41,THAHIRA,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,R. GANDHI,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,5787,22/22,Result Declared
RASIPURAM,92,LOGESH TAMILSELVAN D,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,PREMKUMAR S D,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,14511,21/21,Result Declared
RISHIVANDIYAM,78,KARTHIKEYAN K,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,ASHOK KUMAR G,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,4862,25/25,Result Declared
ROYAPURAM,17,K.V. VIJAY DAMU,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,DR. A. SUBAIR KHAN,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,14249,15/15,Result Declared
SAIDAPET,23,ARUL PRAKASAM. M,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,SUBRAMANIAN. MA,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,28514,21/21,Result Declared
SALEM (NORTH),89,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,RAJENDRAN. R,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,14034,23/23,Result Declared
SALEM (SOUTH),90,VIJAY TAMILAN PARTHIBAN. A,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,LOGANATHAN. M,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,33369,20/20,Result Declared
SALEM (WEST),88,LAKSHMANAN.S,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,KARTHE.M,Pattali Makkal KatchiiParty Wise State TrendsLeading In:0Won In:4Trailing In:0,Pattali Makkal Katchi,iParty Wise State TrendsLeading In:0Won In:4Trailing In:0,Leading In,:,0,Won In,:,4,Trailing In,:,0,74867,24/24,Result Declared
SANKARANKOVIL,219,DR. DHILIPAN JAISHANKAR,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,C. RAMARAJAN,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,6489,24/24,Result Declared
SANKARAPURAM,79,RAKESH R,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,UDHAYASURIYAN T,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,3440,25/25,Result Declared
SANKARI,87,VETRIVEL. S,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,SENTHILKUMAR. K,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,9517,25/25,Result Declared
SATTUR,204,KADARKARAIRAJ. A,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,NAINAR NAGENTHRAN,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,5989,21/21,Result Declared
SENTHAMANGALAM,93,P CHANDRASEKAR,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,C CHANDRASEKARAN,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,2655,23/23,Result Declared
SHOLAVANDAN,190,KARUPPAIAH.M.V,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,VENKATESAN.A,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,2678,19/19,Result Declared
SHOLINGUR,39,G.KAPIL,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,K.SARAVANAN,Pattali Makkal KatchiiParty Wise State TrendsLeading In:0Won In:4Trailing In:0,Pattali Makkal Katchi,iParty Wise State TrendsLeading In:0Won In:4Trailing In:0,Leading In,:,0,Won In,:,4,Trailing In,:,0,5686,26/26,Result Declared
SHOZHINGANALLUR,27,ECR P SARAVANAN,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,S. ARAVIND RAMESH,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,96780,33/33,Result Declared
SINGANALLUR,121,K.S.SRI GIRI PRASATH,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,V.SRINIDHI,Indian National CongressiParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Indian National Congress,iParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Leading In,:,0,Won In,:,5,Trailing In,:,0,19139,27/27,Result Declared
SIRKAZHI,160,SENTHILSELVAN.R,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,SAKTHI.M,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,11417,23/23,Result Declared
SIVAGANGA,186,KULANTHAI RANI A,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,SENTHILNATHAN PR,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,15081,31/31,Result Declared
SIVAKASI,205,KEERTHANA S,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,ASHOKAN G,Indian National CongressiParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Indian National Congress,iParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Leading In,:,0,Won In,:,5,Trailing In,:,0,11670,22/22,Result Declared
SRIPERUMBUDUR,29,THENNARASU.K,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,K. SELVAPERUNTHAGAI,Indian National CongressiParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Indian National Congress,iParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Leading In,:,0,Won In,:,5,Trailing In,:,0,54246,33/33,Result Declared
SRIRANGAM,139,RAMESH,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,S. DURAIRAJ,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,33590,28/28,Result Declared
SRIVAIKUNTAM,216,SARAVANAN. G,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,SHANMUGANATHAN. S. P,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,1186,21/21,Result Declared
SRIVILLIPUTHUR,203,KARTHIK.A,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,MAHALINGAM.P,Communist Party of IndiaiParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Communist Party of India,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,8581,24/24,Result Declared
SULUR,116,NM.SUKUMAR,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,V.P.KANDASAMY,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,4790,30/30,Result Declared
TAMBARAM,31,D.SARATHKUMAR,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,R.S.KIRUTHIKA DEVI,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,35621,39/39,Result Declared
TENKASI,222,DR.KALAI KATHIRAVAN,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,S.SELVA MOHANDAS PANDIAN,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,10299,26/26,Result Declared
THALLI,56,RAMACHANDRAN. T,Communist Party of India,Communist Party of India,,Leading In,:,0,Won In,:,2,Trailing In,:,0,DR.NAGESH KUMAR. C,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,5240,24/24,Result Declared
