constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30
BHAVANISAGAR,107,V.P.TAMILSELVI,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,A.BANNARI,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,4569,24/24,Result Declared
BHUVANAGIRI,157,ARUNMOZHITHEVAN . A,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,SARAVANAN. DURAI . K,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,2487,26/26,Result Declared
BODINAYAKANUR,200,PANNEERSELVAM.O,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,PRAKASH.S,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,6805,25/25,Result Declared
CHENGALPATTU,32,S. THIYAGARAJAN,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,KARTHIKDHANDAPANI,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,35641,40/40,Result Declared
CHENGAM,62,S.VELU,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,K BHARATHIDHASAN,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,13278,25/25,Result Declared
CHEPAUK-THIRUVALLIKENI,19,UDHAYANIDHI STALIN,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,SELVAM. D,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,7140,17/17,Result Declared
CHEYYAR,68,MUKKUR N. SUBRAMANIAN,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,DUSI K MOHAN,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,21081,24/24,Result Declared
CHEYYUR,34,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,MOHAN RAJA.M.G.K,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,5668,22/22,Result Declared
CHIDAMBARAM,158,THAMIMUN ANSARI. M,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,PANDIAN. K.A,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,5747,24/24,Result Declared
COIMBATORE (NORTH),118,V. SAMPATHKUMAR,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,DURAI. SENTHAMIL SELVAN B.E,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,21992,25/25,Result Declared
